Ooo Baby Baby;262;291;0;-29
Opus De Funk;264;293;0;-29
Out A Day;266;295;0;-29
photo of Eric Dolphy;266;296;-1;-30
Over The Rainbow;267;297;0;-30
Part-Time Lover;269;299;0;-30
Pendulum;273;303;0;-30
Prelude To A Kiss;274;304;0;-30
Promise;275;305;0;-30
Punjab;277;307;0;-30
Pyramid;279;309;0;-30
photo of Horace Silver;280;311;-1;-31
Question Mark;281;312;0;-31
Rainland;282;313;0;-31
photo of Mary Lou Williams;284;316;-1;-32
Reach Out, I'll Be There;287;319;0;-32
Real Life;289;321;0;-32
photo of Jerry Bergonzi;290;323;-1;-33
Red's Blues;291;324;0;-33
Relentless;292;325;0;-33
Respect;294;327;0;-33
Revelation;296;329;0;-33
Riddles;300;333;0;-33
Ritual;302;335;0;-33
Ruby;304;337;0;-33
Sail Away;306;339;0;-33
photo of The Yellowjackets;307;341;-1;-34
Second Time Around, The;308;342;0;-34
Serenata;309;343;0;-34
photo of Ella Fitzgerald;310;345;-1;-35
Shadow Of Your Smile, The;311;346;0;-35
Short Story;312;347;0;-35
Since We Met;314;349;0;-35
photo of Stevie Wonder;315;351;-1;-36
Smile Please;316;352;0;-36
So Near So Far;317;353;0;-36
photo of Freddie Hubbard;318;355;-1;-37
Solitude;319;356;0;-37
Speak Like A Child;320;357;0;-37
Spring Is Here;322;359;0;-37
Stairway To The Stars;323;360;0;-37
Star Eyes;324;361;0;-37
"photo of Julian ""CannonBall"" Adderley";325;363;-1;-38
Stars Fell On Alabama;326;364;0;-38
Steepian Faith;327;365;0;-38
Step Lightly;329;367;0;-38
Stompin' At The Savoy;331;369;0;-38
Street Of Dreams;332;370;0;-38
Sub Aqua;333;371;0;-38
photo of Sonny Rollins;336;375;-1;-39
Sugar;337;376;0;-39
Super Blue;338;377;0;-39
Sweet Lorraine;340;379;0;-39
Sweet Love;342;381;0;-39
Taking A Chance On Love;344;383;0;-39
photo of John Contrane;344;384;-1;-40
That Girl;345;385;0;-40
photo of Art Blakey;348;389;-1;-41
That Old Feeling (Standard Version);349;390;0;-41
That Old Feeling;350;391;0;-41
There's A Lull In My Life;352;393;0;-41
34 Skidoo;354;395;0;-41
This Is New;355;396;0;-41
Tiny Capers;356;397;0;-41
Tokyo Dream;358;399;0;-41
Too High;362;403;0;-41
photo of Wayne Shorter;365;407;-1;-42
Toy Tune;366;408;0;-42
Tracks Of My Tears, The;367;409;0;-42
Tuzz's Shadow;369;411;0;-42
Used To Be A Cha-Cha;371;413;0;-42
photo of Roy Eldridge;372;415;-1;-43
Walk Of The Negress;373;416;0;-43
Warm Valley;374;417;0;-43
Wee;375;418;0;-43
What Are You Doing The Rest Of Your Life;376;419;0;-43
What's Going On?;378;421;0;-43
What's Love Got To Do With It;380;423;0;-43
When I Look In Your Eyes;382;425;0;-43
When Lights Are Low;384;427;0;-43
Where Are You?;386;429;0;-43
You Are So Beautiful;387;430;0;-43
You Must Believe In Spring;388;431;0;-43
You Stepped Out Of A Dream;390;433;0;-43
You've Changed;391;434;0;-43
